Sun May  6 10:52:35 2018
Linux-4.13.0-38-generic-x86_64-with-Ubuntu-17.10-artful
Ren'Py 7.0.0.89
Ren'Py Tutorial Game Ren'Py 7.0.0.89

==============================================================================

Memory diff at Sun May  6 10:52:35 2018:

           +16            16 renpy.__doc__
           +24            24 renpy.atl.GLOBAL_CONST
           +24            24 renpy.audio.audio.next_channel_number
           +24            24 renpy.audio.audio.serial
           +24            24 renpy.audio.audio.unique
           +24            24 renpy.bytecode_version
           +24            24 renpy.character.multiple_count
           +24            24 renpy.config.afm_bonus
           +24            24 renpy.config.afm_voice_delay
           +24            24 renpy.config.autosave_frequency
           +24            24 renpy.config.console_history_lines
           +24            24 renpy.config.de_minimus_dpi_scale
           +24            24 renpy.config.default_afm_time
           +24            24 renpy.config.default_sfx_volume
           +24            24 renpy.config.file_pages_per_folder
           +24            24 renpy.config.focus_crossrange_penalty
           +24            24 renpy.config.frames
           +24            24 renpy.config.gesture_component_size
           +24            24 renpy.config.gesture_stroke_size
           +24            24 renpy.config.history_length
           +24            24 renpy.config.idle_gc_count
           +24            24 renpy.config.image_cache_size_mb
           +24            24 renpy.config.log_width
           +24            24 renpy.config.longpress_duration
           +24            24 renpy.config.longpress_vibrate
           +24            24 renpy.config.max_fit_size
           +24            24 renpy.config.minimum_presplash_time
           +24            24 renpy.config.module_version
           +24            24 renpy.config.mouse_hide_time
           +24            24 renpy.config.nvl_list_length
           +24            24 renpy.config.performance_window
           +24            24 renpy.config.predict_statements
           +24            24 renpy.config.profile_time
           +24            24 renpy.config.rollback_length
           +24            24 renpy.config.screen_cache_size
           +24            24 renpy.config.screen_height
           +24            24 renpy.config.screen_width
           +24            24 renpy.config.sound_sample_rate
           +24            24 renpy.config.thumbnail_height
           +24            24 renpy.config.thumbnail_width
           +24            24 renpy.config.warp_limit
           +24            24 renpy.display.controller.CONTROLLERAXISMOTION
           +24            24 renpy.display.controller.CONTROLLERBUTTONDOWN
           +24            24 renpy.display.controller.CONTROLLERBUTTONUP
           +24            24 renpy.display.controller.CONTROLLERDEVICEADDED
           +24            24 renpy.display.controller.CONTROLLERDEVICEREMOVED
           +24            24 renpy.display.controller.THRESHOLD
           +24            24 renpy.display.core.EVENTNAME
           +24            24 renpy.display.core.PERIODIC
           +24            24 renpy.display.core.PERIODIC_INTERVAL
           +24            24 renpy.display.core.REDRAW
           +24            24 renpy.display.core.TIMEEVENT
           +24            24 renpy.display.core.import_time
           +24            24 renpy.display.core.initial_maximum_framerate
           +24            24 renpy.display.core.time_base
           +24            24 renpy.display.core.time_mult
           +24            24 renpy.display.presplash.PRESPLASHEVENT
           +24            24 renpy.display.presplash.start_time
           +24            24 renpy.display.render.PIXELLATE
           +24            24 renpy.display.render.render_at
           +24            24 renpy.display.text.ON
           +24            24 renpy.display.text.RTL
           +24            24 renpy.display.text.WRTL
           +24            24 renpy.execution.il_statements
           +24            24 renpy.execution.il_time
           +24            24 renpy.experimental
           +24            24 renpy.game.seen_translates_count
           +24            24 renpy.gl.gltexture.MAX_SIZE
           +24            24 renpy.gl.gltexture.texture_count
           +24            24 renpy.gl.gltexture.total_texture_size
           +24            24 renpy.macapp
           +24            24 renpy.main.last_clock
           +24            24 renpy.persistent.persistent_mtime
           +24            24 renpy.python.generation
           +24            24 renpy.python.new_compile_flags
           +24            24 renpy.python.old_compile_flags
           +24            24 renpy.python.serial
           +24            24 renpy.script_version
           +24            24 renpy.sl2.slast.serial
           +24            24 renpy.subprocess.MAXFD
           +24            24 renpy.subprocess.PIPE
           +24            24 renpy.subprocess.STDOUT
           +24            24 renpy.subprocess._PIPE_BUF
           +24            24 renpy.test.testkey.k
           +24            24 renpy.text.font.last_scale
           +24            24 renpy.text.textsupport.i
           +24            24 renpy.ui.VIEWPORT_SIZE
           +24            24 renpy.vc_version
           +24            24 store._gamepad.JOYAXISMOTION
           +24            24 store._gamepad.JOYBUTTONDOWN
           +24            24 store._gamepad.JOYHATMOTION
           +24            24 store.director.viewport_height
           +24            24 store.eileen_lv
           +24            24 store.gui.bar_size
           +24            24 store.gui.button_text_xalign
           +24            24 store.gui.choice_button_text_size
           +24            24 store.gui.choice_button_text_xalign
           +24            24 store.gui.choice_button_width
           +24            24 store.gui.choice_spacing
           +24            24 store.gui.confirm_button_text_xalign
           +24            24 store.gui.dialogue_text_xalign
           +24            24 store.gui.dialogue_width
           +24            24 store.gui.dialogue_xpos
           +24            24 store.gui.history_height
           +24            24 store.gui.history_name_xalign
           +24            24 store.gui.history_text_width
           +24            24 store.gui.history_text_xalign
           +24            24 store.gui.history_text_xpos
           +24            24 store.gui.interface_text_size
           +24            24 store.gui.label_text_size
           +24            24 store.gui.main_menu_text_xalign
           +24            24 store.gui.name_xalign
           +24            24 store.gui.navigation_xpos
           +24            24 store.gui.notify_text_size
           +24            24 store.gui.notify_ypos
           +24            24 store.gui.nvl_button_xalign
           +24            24 store.gui.nvl_button_xpos
           +24            24 store.gui.nvl_height
           +24            24 store.gui.nvl_name_width
           +24            24 store.gui.nvl_name_xalign
           +24            24 store.gui.nvl_name_xpos
           +24            24 store.gui.nvl_text_width
           +24            24 store.gui.nvl_text_xalign
           +24            24 store.gui.nvl_text_xpos
           +24            24 store.gui.nvl_thought_width
           +24            24 store.gui.nvl_thought_xalign
           +24            24 store.gui.nvl_thought_xpos
           +24            24 store.gui.quick_button_text_size
           +24            24 store.gui.scrollbar_size
           +24            24 store.gui.slot_button_height
           +24            24 store.gui.slot_button_text_xalign
           +24            24 store.gui.slot_button_width
           +24            24 store.gui.textbox_height
           +24            24 store.gui.textbox_yalign
           +24            24 store.player_hp_max
           +24            24 store.stat_chutzpah
           +37            37 renpy.audio.audio.disable
           +39            39 renpy.config.tl_directory
           +39            39 renpy.parser.i
           +41            41 renpy.config.gl_clear_color
           +41            41 renpy.config.profile_to_event
           +41            41 renpy.screenlang.name
           +41            41 renpy.script.MAGIC
           +42            42 renpy.__name__
           +42            42 renpy.add_from.__package__
           +42            42 renpy.arguments.__package__
           +42            42 renpy.ast.__package__
           +42            42 renpy.atl.__package__
           +42            42 renpy.bootstrap.FSENCODING
           +42            42 renpy.bootstrap.__package__
           +42            42 renpy.character.__package__
           +42            42 renpy.color.__package__
           +42            42 renpy.config.__package__
           +42            42 renpy.config.movie_mixer
           +42            42 renpy.config.play_channel
           +42            42 renpy.debug.__package__
           +42            42 renpy.defaultstore.__package__
           +42            42 renpy.display.focus.pending_focus_type
           +42            42 renpy.dump.__package__
           +42            42 renpy.easy.__package__
           +42            42 renpy.editor.__package__
           +42            42 renpy.error.FSENCODING
           +42            42 renpy.error.__package__
           +42            42 renpy.execution.__package__
           +42            42 renpy.exports.__package__
           +42            42 renpy.game.__package__
           +42            42 renpy.lint.__package__
           +42            42 renpy.loader.__package__
           +42            42 renpy.loadsave.__package__
           +42            42 renpy.log.__package__
           +42            42 renpy.main.__package__
           +42            42 renpy.memory.__package__
           +42            42 renpy.minstore.__package__
           +42            42 renpy.object.__package__
           +42            42 renpy.parser.__package__
           +42            42 renpy.performance.__package__
           +42            42 renpy.persistent.__package__
           +42            42 renpy.preferences.__package__
           +42            42 renpy.python.__package__
           +42            42 renpy.savelocation.__package__
           +42            42 renpy.screenlang.__package__
           +42            42 renpy.script.__package__
           +42            42 renpy.scriptedit.__package__
           +42            42 renpy.sl2.sldisplayables.name
           +42            42 renpy.statements.__package__
           +42            42 renpy.style.__package__
           +42            42 renpy.substitutions.__package__
           +42            42 renpy.ui.__package__
           +42            42 renpy.warp.__package__
           +42            42 store.__package__
           +43            43 renpy.config.default_tag_layer
           +44            44 renpy.config.choice_layer
           +44            44 renpy.sl2.sldisplayables.i
           +45            45 renpy.gl.__name__
           +45            45 renpy.gl.gl.__package__
           +45            45 renpy.gl.gl1.__package__
           +45            45 renpy.gl.gldraw.__package__
           +45            45 renpy.gl.glenviron_limited.__package__
           +45            45 renpy.gl.glrtt_copy.__package__
           +45            45 renpy.gl.glrtt_fbo.__package__
           +45            45 renpy.gl.gltexture.__package__
           +45            45 renpy.sl2.slproperties.i
           +45            45 renpy.ui.__name__
           +45            45 renpy.ui.k
           +45            45 renpy.version_only
           +46            46 renpy.ast.__name__
           +46            46 renpy.atl.__name__
           +46            46 renpy.log.__name__
           +46            46 renpy.savegame_suffix
           +46            46 renpy.sl2.__name__
           +46            46 renpy.sl2.slast.__package__
           +46            46 renpy.sl2.sldisplayables.__package__
           +46            46 renpy.sl2.slparser.__package__
           +46            46 renpy.sl2.slproperties.__package__
           +46            46 store.gui.__name__
           +46            46 store.iap.__name__
           +47            47 renpy.display.text.__package__
           +47            47 renpy.dump.__name__
           +47            47 renpy.easy.__name__
           +47            47 renpy.game.__name__
           +47            47 renpy.lint.__name__
           +47            47 renpy.main.__name__
           +47            47 renpy.script.RPYC2_HEADER
           +47            47 renpy.subprocess.__name__
           +47            47 renpy.test.__name__
           +47            47 renpy.test.testast.__package__
           +47            47 renpy.test.testexecution.__package__
           +47            47 renpy.test.testfocus.__package__
           +47            47 renpy.test.testkey.__package__
           +47            47 renpy.test.testmouse.__package__
           +47            47 renpy.test.testparser.__package__
           +47            47 renpy.text.__name__
           +47            47 renpy.text.extras.__package__
           +47            47 renpy.text.font.__package__
           +47            47 renpy.text.ftfont.__package__
           +47            47 renpy.text.texwrap.__package__
           +47            47 renpy.warp.__name__
           +47            47 store.icon.__name__
           +48            48 renpy.angle.__name__
           +48            48 renpy.audio.__name__
           +48            48 renpy.audio.audio.__package__
           +48            48 renpy.audio.music.__package__
           +48            48 renpy.audio.sound.__package__
           +48            48 renpy.color.__name__
           +48            48 renpy.curry.__name__
           +48            48 renpy.debug.__name__
           +48            48 renpy.error.__name__
           +48            48 renpy.gl.gl.__name__
           +48            48 renpy.style.__name__
           +48            48 store.audio.__name__
           +48            48 store.build.__package__
           +49            49 renpy.config.__name__
           +49            49 renpy.editor.__name__
           +49            49 renpy.exports.platform
           +49            49 renpy.gl.gl1.__name__
           +49            49 renpy.loader.__name__
           +49            49 renpy.memory.__name__
           +49            49 renpy.object.__name__
           +49            49 renpy.parser.__name__
           +49            49 renpy.pydict.__name__
           +49            49 renpy.python.__name__
           +49            49 renpy.script.__name__
           +50            50 renpy.display.__package__
           +50            50 renpy.display.accelerator.__package__
           +50            50 renpy.display.anim.__package__
           +50            50 renpy.display.behavior.__package__
           +50            50 renpy.display.controller.__package__
           +50            50 renpy.display.core.__package__
           +50            50 renpy.display.dragdrop.__package__
           +50            50 renpy.display.emulator.__package__
           +50            50 renpy.display.error.__package__
           +50            50 renpy.display.focus.__package__
           +50            50 renpy.display.gesture.__package__
           +50            50 renpy.display.im.__package__
           +50            50 renpy.display.image.__package__
